Date,rate_ISRG_5D,rate_ISRG_20D,rate_VOO_5D,rate_VOO_20D
2022-11-25,-9.569999999999999,-12.618500000000001,-9.824,-11.96
2022-11-28,-9.552000000000001,-12.3375,-9.825999999999999,-11.865
2022-11-29,-9.63,-12.147499999999999,-9.798,-11.749
2022-11-30,-9.228,-11.8265,-9.464,-11.4975
2022-12-01,-8.662,-11.2625,-9.198,-11.129999999999999
2022-12-02,-8.251999999999999,-10.6955,-8.956,-10.725999999999999
2022-12-05,-7.8340000000000005,-10.251000000000001,-8.748000000000001,-10.459
2022-12-06,-7.414,-9.9045,-8.76,-10.2935
2022-12-07,-7.517999999999999,-9.51,-9.344,-10.1595
2022-12-08,-7.63,-8.988499999999998,-9.834,-9.906000000000002
2022-12-09,-7.709999999999999,-8.802,-10.424000000000001,-9.9075
2022-12-12,-7.464,-8.671,-10.454,-9.889
2022-12-13,-6.58,-8.35,-10.102,-9.803
2022-12-14,-5.852,-8.118,-9.824000000000002,-9.780000000000001
2022-12-15,-6.101999999999999,-8.0515,-10.118,-9.8325
2022-12-16,-6.409999999999999,-7.985499999999999,-10.492,-9.924
2022-12-19,-7.114,-7.991000000000001,-11.258,-10.0715
2022-12-20,-8.204,-7.956999999999999,-12.209999999999999,-10.2175
2022-12-21,-8.966000000000001,-7.891,-12.802000000000001,-10.3585
2022-12-22,-9.152,-7.8865,-13.197999999999999,-10.587
2022-12-23,-9.251999999999999,-7.906000000000001,-13.294,-10.7915
2022-12-27,-9.069999999999999,-7.8705,-13.309999999999999,-10.942499999999999
2022-12-28,-9.078,-7.819,-13.478,-11.1375
2022-12-29,-8.978,-7.8285,-13.602,-11.392999999999999
2022-12-30,-8.87,-7.9385,-13.532,-11.6705
2023-01-03,-8.648,-8.004999999999999,-13.558000000000002,-11.942
2023-01-04,-8.223999999999998,-7.968000000000001,-13.398000000000001,-12.105
2023-01-05,-7.747999999999999,-7.902499999999999,-13.216,-12.2515
2023-01-06,-7.531999999999999,-7.832000000000001,-12.948000000000002,-12.294
2023-01-09,-7.537999999999999,-7.9155,-12.646,-12.3735
2023-01-10,-7.162000000000001,-7.867999999999999,-12.218,-12.3905
2023-01-11,-7.843999999999999,-8.062999999999999,-11.690000000000001,-12.414
2023-01-12,-8.642,-8.418000000000001,-10.91,-12.4535
2023-01-13,-9.424,-8.725,-10.444,-12.449
2023-01-17,-9.642,-8.8005,-9.992,-12.342
2023-01-18,-10.664,-8.9315,-9.952,-12.255500000000001
