Date,rate_LRCX,rate_LRCX_5D,rate_LRCX_20D,rate_VOO,rate_VOO_5D,rate_VOO_20D
2022-12-08,-19.52,-20.278,-18.7995,-10.21,-9.834,-9.906000000000002
2022-12-09,-20.33,-20.528,-19.0745,-10.84,-10.424000000000001,-9.9075
2022-12-12,-17.95,-20.131999999999998,-19.3615,-9.61,-10.454,-9.889
2022-12-13,-15.94,-19.014,-19.377000000000002,-8.96,-10.102,-9.803
2022-12-14,-17.27,-18.201999999999998,-19.544,-9.5,-9.824000000000002,-9.780000000000001
2022-12-15,-21.09,-18.516,-19.6015,-11.68,-10.118,-9.8325
2022-12-16,-21.46,-18.742,-19.726499999999998,-12.71,-10.492,-9.924
2022-12-19,-22.36,-19.624000000000002,-19.859,-13.44,-11.258,-10.0715
2022-12-20,-22.59,-20.954,-19.947,-13.72,-12.209999999999999,-10.2175
2022-12-21,-20.78,-21.656,-19.991,-12.46,-12.802000000000001,-10.3585
2022-12-22,-27.45,-22.928,-20.4175,-13.66,-13.197999999999999,-10.587
2022-12-23,-26.93,-24.022,-20.749000000000002,-13.19,-13.294,-10.7915
2022-12-27,-28.08,-25.166,-21.053,-13.52,-13.309999999999999,-10.942499999999999
2022-12-28,-28.54,-26.356,-21.3695,-14.56,-13.478,-11.1375
2022-12-29,-25.47,-27.294,-21.7905,-13.08,-13.602,-11.392999999999999
2022-12-30,-25.52,-26.907999999999998,-22.1575,-13.31,-13.532,-11.6705
2023-01-03,-25.94,-26.709999999999997,-22.5005,-13.32,-13.558000000000002,-11.942
2023-01-04,-24.54,-26.002,-22.731,-12.72,-13.398000000000001,-12.105
2023-01-05,-25.48,-25.39,-22.9285,-13.65,-13.216,-12.2515
2023-01-06,-20.57,-24.410000000000004,-22.8905,-11.74,-12.948000000000002,-12.294
2023-01-09,-19.32,-23.169999999999998,-22.8805,-11.8,-12.646,-12.3735
2023-01-10,-18.24,-21.63,-22.776,-11.18,-12.218,-12.3905
2023-01-11,-17.25,-20.172,-22.741,-10.08,-11.690000000000001,-12.414
2023-01-12,-16.25,-18.326,-22.7565,-9.75,-10.91,-12.4535
2023-01-13,-15.62,-17.336000000000002,-22.674,-9.41,-10.444,-12.449
2023-01-17,-16.09,-16.689999999999998,-22.424,-9.54,-9.992,-12.342
2023-01-18,-16.8,-16.402,-22.191,-10.98,-9.952,-12.255500000000001
2023-01-19,-19.07,-16.766,-22.0265,-11.6,-10.256,-12.1635
2023-01-20,-15.82,-16.68,-21.688,-10.01,-10.308,-11.978
2023-01-23,-12.64,-16.084,-21.281,-8.94,-10.213999999999999,-11.802
2023-01-24,-13.21,-15.508000000000001,-20.569,-9.04,-10.113999999999999,-11.571000000000002
2023-01-25,-13.05,-14.758,-19.875,-9.01,-9.72,-11.362
2023-01-26,-11.42,-13.228,-19.041999999999998,-8.06,-9.012,-11.089
2023-01-27,-14.02,-12.868,-18.316,-7.8,-8.57,-10.751
2023-01-30,-14.76,-13.291999999999998,-17.7805,-8.93,-8.568,-10.5435
2023-01-31,-11.02,-12.854000000000003,-17.055500000000002,-7.66,-8.291999999999998,-10.261
2023-02-01,-5.63,-11.370000000000001,-16.04,-6.52,-7.794,-9.921
2023-02-02,-3.79,-9.844,-15.002500000000001,-5.25,-7.231999999999999,-9.5475
2023-02-03,-5.8,-8.2,-14.0185,-6.21,-6.914,-9.175500000000001
2023-02-06,-7.22,-6.692,-13.350999999999999,-6.73,-6.473999999999999,-8.925
2023-02-07,-5.42,-5.572,-12.656,-5.74,-6.09,-8.622
2023-02-08,-7.66,-5.978,-12.126999999999999,-6.59,-6.104,-8.3925
2023-02-09,-8.01,-6.822,-11.665,-7.25,-6.5040000000000004,-8.251000000000001
2023-02-10,-9.54,-7.57,-11.3295,-7.06,-6.6739999999999995,-8.1165
2023-02-13,-8.77,-7.88,-10.986999999999998,-6.18,-6.564,-7.955
2023-02-14,-7.82,-8.36,-10.5735,-6.21,-6.6579999999999995,-7.788500000000001
2023-02-15,-7.16,-8.260000000000002,-10.0915,-5.96,-6.531999999999999,-7.5375
2023-02-16,-10.21,-8.7,-9.6485,-6.98,-6.478,-7.3065
2023-02-17,-11.12,-9.016,-9.413499999999999,-7.17,-6.5,-7.164500000000001
2023-02-21,-13.91,-10.044,-9.477,-8.6,-6.984,-7.147500000000001
2023-02-22,-14.08,-11.296000000000001,-9.5205,-8.69,-7.4799999999999995,-7.13
2023-02-23,-12.77,-12.418,-9.5065,-8.34,-7.956,-7.096500000000001
2023-02-24,-13.86,-13.148,-9.628499999999999,-9.1,-8.379999999999999,-7.1485
2023-02-27,-13.2,-13.563999999999998,-9.587499999999999,-8.85,-8.716,-7.2010000000000005
2023-02-28,-12.64,-13.309999999999999,-9.4815,-9.16,-8.828,-7.2125
2023-03-01,-11.54,-12.801999999999998,-9.5075,-9.24,-8.937999999999999,-7.291500000000001
2023-03-02,-11.7,-12.588,-9.811,-8.66,-9.001999999999999,-7.3985
2023-03-03,-11.42,-12.1,-10.192499999999999,-7.41,-8.663999999999998,-7.5065
2023-03-06,-12.49,-11.958,-10.527,-7.32,-8.358,-7.561999999999999
2023-03-07,-13.44,-12.117999999999999,-10.838,-8.65,-8.256,-7.6579999999999995
2023-03-08,-11.09,-12.028,-11.121500000000001,-8.52,-8.112,-7.797
2023-03-09,-11.62,-12.012,-11.3195,-10.08,-8.396,-7.971499999999999
2023-03-10,-13.58,-12.443999999999999,-11.598,-11.27,-9.168000000000001,-8.1725
2023-03-13,-13.9,-12.725999999999999,-11.815999999999999,-11.41,-9.985999999999999,-8.389999999999999
2023-03-14,-10.94,-12.225999999999999,-11.9245,-10.0,-10.256,-8.581
2023-03-15,-12.15,-12.437999999999999,-12.141,-10.53,-10.658,-8.797
2023-03-16,-7.24,-11.562000000000001,-12.145,-9.06,-10.453999999999999,-8.952
2023-03-17,-8.43,-10.532,-12.056000000000001,-10.02,-10.203999999999999,-9.104000000000001
2023-03-20,-7.57,-9.266,-11.878499999999999,-9.23,-9.768,-9.206999999999999
2023-03-21,-8.6,-8.798,-11.613000000000001,-8.08,-9.384,-9.181000000000001
2023-03-22,-8.79,-8.126,-11.3485,-9.56,-9.190000000000001,-9.2245
2023-03-23,-5.78,-7.8340000000000005,-10.998999999999999,-9.35,-9.248000000000001,-9.275
2023-03-24,-9.53,-8.053999999999998,-10.7825,-9.13,-9.069999999999999,-9.2765
2023-03-27,-10.63,-8.666,-10.654,-8.98,-9.02,-9.283
2023-03-28,-12.52,-9.45,-10.648,-9.14,-9.232000000000001,-9.282
2023-03-29,-7.08,-9.108,-10.425,-7.87,-8.894,-9.2135
2023-03-30,-4.32,-8.815999999999999,-10.056,-7.33,-8.49,-9.147
