Date,rate_CMCSA_5D,rate_CMCSA_20D,rate_VOO_5D,rate_VOO_20D
2023-05-24,-7.356,-7.978,-4.3,-5.039
2023-05-25,-8.36,-8.104000000000001,-4.51,-5.012
2023-05-26,-9.128,-8.310500000000001,-4.446,-4.958
2023-05-30,-10.07,-8.59,-4.388,-4.905
2023-05-31,-10.536,-8.799,-4.220000000000001,-4.8285
2023-06-01,-10.914,-8.996,-3.716,-4.674
2023-06-02,-10.822,-9.101,-3.096,-4.4185
2023-06-05,-10.636,-9.162,-2.758,-4.250500000000001
2023-06-06,-10.453999999999999,-9.2785,-2.386,-4.0745
2023-06-07,-9.953999999999999,-9.1845,-1.9760000000000002,-3.8950000000000005
2023-06-08,-9.308,-9.104000000000001,-1.6440000000000001,-3.7065000000000006
2023-06-09,-8.838,-9.108,-1.558,-3.5035000000000003
2023-06-12,-8.43,-9.042,-1.254,-3.2495
2023-06-13,-7.8759999999999994,-8.976,-0.86,-2.9785
2023-06-14,-7.653999999999999,-8.84,-0.388,-2.6735
2023-06-15,-7.2,-8.694500000000001,0.22200000000000003,-2.3594999999999997
2023-06-16,-6.76,-8.695,0.7260000000000001,-2.1095
2023-06-20,-6.781999999999999,-8.744,0.958,-1.875
2023-06-21,-6.81,-8.8025,0.9520000000000002,-1.6705
2023-06-22,-6.928,-8.768,1.004,-1.395
2023-06-23,-7.553999999999999,-8.744,0.652,-1.1215
2023-06-26,-7.843999999999999,-8.565999999999999,0.292,-0.909
2023-06-27,-7.462000000000001,-8.327499999999999,0.242,-0.7030000000000001
2023-06-28,-6.984,-8.031,0.30999999999999994,-0.496
2023-06-29,-6.58,-7.779000000000001,0.304,-0.26400000000000007
2023-06-30,-5.9159999999999995,-7.4944999999999995,0.682,-0.022
2023-07-03,-5.35,-7.198,1.1720000000000002,0.158
2023-07-05,-5.328,-7.0005,1.4,0.3365
2023-07-06,-5.514,-6.795999999999999,1.456,0.46449999999999997
2023-07-07,-5.51,-6.668000000000001,1.468,0.597
2023-07-10,-5.354000000000001,-6.506,1.3,0.7140000000000001
2023-07-11,-5.252000000000001,-6.3015,1.23,0.8550000000000001
2023-07-12,-4.898000000000001,-6.117500000000001,1.3619999999999999,0.9904999999999999
2023-07-13,-4.338,-5.9115,1.8199999999999998,1.1345
2023-07-14,-4.086,-5.776,2.308,1.2710000000000001
2023-07-17,-3.9939999999999998,-5.7045,2.812,1.3615
2023-07-18,-3.818,-5.566000000000001,3.344,1.5095
2023-07-19,-3.654,-5.3355,3.7619999999999996,1.6915
2023-07-20,-3.364,-5.05,3.882,1.8669999999999998
2023-07-21,-2.998,-4.7935,4.0200000000000005,2.025
2023-07-24,-2.494,-4.4395,4.1739999999999995,2.242
2023-07-25,-2.132,-4.138,4.224,2.4925
2023-07-26,-2.054,-3.9835000000000003,4.234,2.6895
2023-07-27,-1.1199999999999999,-3.5840000000000005,4.26,2.8545000000000003
2023-07-28,-0.10400000000000001,-3.1745,4.454,3.0625
2023-07-31,0.756,-2.7715,4.595999999999999,3.2205
2023-08-01,1.6219999999999999,-2.3950000000000005,4.616,3.3534999999999995
2023-08-02,2.5759999999999996,-2.0075000000000003,4.406000000000001,3.441
2023-08-03,2.492,-1.5825,4.27,3.558
2023-08-04,2.338,-1.2125,3.886,3.6670000000000003
2023-08-07,2.4,-0.833,3.6100000000000003,3.7979999999999996
2023-08-08,2.436,-0.47300000000000003,3.342,3.8815
2023-08-09,2.5140000000000002,-0.15450000000000003,3.2060000000000004,3.9019999999999997
2023-08-10,2.772,0.19499999999999998,3.1220000000000003,3.8835
2023-08-11,3.184,0.605,3.104,3.8659999999999997
2023-08-14,3.5380000000000003,1.05,3.024,3.851
2023-08-15,4.05,1.494,2.848,3.7574999999999994
2023-08-16,4.392,1.857,2.666,3.6279999999999992
2023-08-17,4.496,2.16,2.366,3.5044999999999993
2023-08-18,4.422,2.46,2.09,3.3835
2023-08-21,4.208,2.7255,1.8239999999999998,3.2634999999999996
2023-08-22,3.7640000000000002,2.968,1.6780000000000002,3.1209999999999996
2023-08-23,3.4979999999999998,3.245,1.7759999999999998,3.0134999999999996
2023-08-24,3.196,3.239,1.8039999999999998,2.8905
2023-08-25,3.1079999999999997,3.2630000000000003,1.908,2.747
2023-08-28,3.144,3.3225000000000002,2.0100000000000002,2.617
2023-08-29,3.5099999999999993,3.44,2.3440000000000003,2.553
2023-08-30,4.01,3.6034999999999995,2.59,2.5595
